eval_setup,fold_id,AUCESS,Solved,Total
ball_within_template,0,0.38861802191080547,394,500
ball_within_template,1,0.3827122838348198,421,500
ball_within_template,2,0.39527177700046645,408,500
ball_within_template,3,0.37771355615699426,401,500
ball_within_template,4,0.3992662398181137,398,500
ball_within_template,5,0.3903325076652316,406,500
ball_within_template,6,0.38502090409004286,410,500
ball_within_template,7,0.38607704415319627,447,500
ball_within_template,8,0.38171569942354433,435,500
ball_within_template,9,0.3819652244169735,393,500
