eval_setup,fold_id,AUCESS,Solved,Total,Percent_Solved
ball_cross_template,0,0.3653658484360417,369,500,0.738
ball_cross_template,1,0.26401728399972674,289,500,0.578
ball_cross_template,2,0.37768096683978586,364,500,0.728
ball_cross_template,3,0.34814752470411,326,500,0.652
ball_cross_template,4,0.23129902618650902,256,500,0.512
ball_cross_template,5,0.3833814227017562,374,500,0.748
ball_cross_template,6,0.27288652333063557,272,500,0.544
ball_cross_template,7,0.28121834288040304,351,500,0.702
ball_cross_template,8,0.1325377721571333,217,500,0.434
ball_cross_template,9,0.33280098839072403,309,500,0.618
ball_within_template,0,0.37779228682952637,355,500,0.71
ball_within_template,1,0.39477442392231993,350,500,0.7
ball_within_template,2,0.38097071753518813,355,500,0.71
ball_within_template,3,0.36865608191628774,355,500,0.71
ball_within_template,4,0.386837822222372,378,500,0.756
ball_within_template,5,0.38200161640004066,369,500,0.738
ball_within_template,6,0.3810750023533864,365,500,0.73
ball_within_template,7,0.38024777899551165,351,500,0.702
ball_within_template,8,0.3913294553814815,357,500,0.714
ball_within_template,9,0.3880250169018206,378,500,0.756
