eval_setup,fold_id,AUCESS,Solved,Total
ball_cross_template,0,0.38354584088257504,394,500
ball_cross_template,1,0.2630847479117638,301,500
ball_cross_template,2,0.39759772410566774,370,500
ball_cross_template,3,0.3475651952747243,333,500
ball_cross_template,4,0.22175636530635126,275,500
ball_cross_template,5,0.40910041181035167,349,500
ball_cross_template,6,0.2780153489354729,293,500
ball_cross_template,7,0.28616367377749735,345,500
ball_cross_template,8,0.162291279993391,218,500
ball_cross_template,9,0.3497041002892439,331,500
ball_within_template,0,0.30208164553154115,319,500
ball_within_template,1,0.3330716501809296,333,500
ball_within_template,2,0.30766870887844844,304,500
ball_within_template,3,0.3019945130382234,316,500
ball_within_template,4,0.2847217269461413,309,500
ball_within_template,5,0.3045765467785435,313,500
ball_within_template,6,0.3028375613347891,323,500
ball_within_template,7,0.3033307282381126,325,500
ball_within_template,8,0.32485384819726676,336,500
ball_within_template,9,0.30039133187491046,309,500
