eval_setup,fold_id,AUCESS
ball_cross_template,0,0.3817450480327756
ball_cross_template,1,0.2823242289300176
ball_cross_template,2,0.3810621480972752
ball_cross_template,3,0.3500594961423958
ball_cross_template,4,0.22940710179637783
ball_cross_template,5,0.3919444481570125
ball_cross_template,6,0.28490540101935746
ball_cross_template,7,0.2946342758924784
ball_cross_template,8,0.16329366336187362
ball_cross_template,9,0.3621342037447658
ball_within_template,0,0.3138246830199936
ball_within_template,1,0.32804468081269195
ball_within_template,2,0.30922277532532777
ball_within_template,3,0.3022088322197845
ball_within_template,4,0.3040554217152624
ball_within_template,5,0.3195220129713295
ball_within_template,6,0.3112885623189707
ball_within_template,7,0.3129639420795753
ball_within_template,8,0.3266430197832318
ball_within_template,9,0.30780211804517105
