eval_setup,fold_id,AUCESS
ball_cross_template,0,0.18915403497080294
ball_cross_template,1,0.12278644507148563
ball_cross_template,2,0.21639527519191146
ball_cross_template,3,0.20749913202046905
ball_cross_template,4,0.07085551872680718
ball_cross_template,5,0.2484945816989153
ball_cross_template,6,0.14169090740002352
ball_cross_template,7,0.18727983814530208
ball_cross_template,8,0.10056115199908569
ball_cross_template,9,0.17641909501598058
ball_within_template,0,0.17397632882195835
ball_within_template,1,0.17505522570493726
ball_within_template,2,0.17002459791685196
ball_within_template,3,0.16711427625894393
ball_within_template,4,0.1750781463715236
ball_within_template,5,0.1790040764370392
ball_within_template,6,0.1724948451946378
ball_within_template,7,0.18918561799752204
ball_within_template,8,0.1911554945950182
ball_within_template,9,0.1779459926788209
