eval_setup,fold_id,AUCESS
ball_cross_template,0,0.3036650213880703
ball_cross_template,1,0.24963819748787935
ball_cross_template,2,0.3772473644177516
ball_cross_template,3,0.2540609236893436
ball_cross_template,4,0.12008750404242675
ball_cross_template,5,0.43438026218092707
ball_cross_template,6,0.2406832805781552
ball_cross_template,7,0.3059459859483496
ball_cross_template,8,0.07691088006526765
ball_cross_template,9,0.2995947869697333
ball_within_template,0,0.2676718014296192
ball_within_template,1,0.28692870304956225
ball_within_template,2,0.2692827675664077
ball_within_template,3,0.278797332188347
ball_within_template,4,0.2546583480933137
ball_within_template,5,0.28650459106950044
ball_within_template,6,0.28322455286177806
ball_within_template,7,0.2587706747482107
ball_within_template,8,0.2798598733900978
ball_within_template,9,0.2724042213751315
