eval_setup,fold_id,AUCESS
ball_cross_template,0,0.17283523497688835
ball_cross_template,1,0.12756866560278324
ball_cross_template,2,0.21127069771119877
ball_cross_template,3,0.17079487269768498
ball_cross_template,4,0.08158643433912452
ball_cross_template,5,0.24827192401491976
ball_cross_template,6,0.14878368334049463
ball_cross_template,7,0.15096873850302203
ball_cross_template,8,0.09841528699337221
ball_cross_template,9,0.16374160503944948
ball_within_template,0,0.16830246625330428
ball_within_template,1,0.17832637826282563
ball_within_template,2,0.15808304485909425
ball_within_template,3,0.1619317873538492
ball_within_template,4,0.1446478710604148
ball_within_template,5,0.1640881668215785
ball_within_template,6,0.17073767528672626
ball_within_template,7,0.16661749510815058
ball_within_template,8,0.15318259826988345
ball_within_template,9,0.16075883131775462
