eval_setup,fold_id,AUCESS,Solved,Total
ball_cross_template,0,0.36886027620054906,391,500
ball_cross_template,1,0.2600643178381712,293,500
ball_cross_template,2,0.3909298297200271,366,500
ball_cross_template,3,0.3417604184503703,332,500
ball_cross_template,4,0.22501296388300338,273,500
ball_cross_template,5,0.3975532891022896,341,500
ball_cross_template,6,0.28689832681098487,295,500
ball_cross_template,7,0.2736066165229041,323,500
ball_cross_template,8,0.1728617417224364,228,500
ball_cross_template,9,0.3433850135571536,319,500
ball_within_template,0,0.31553258760193226,317,500
ball_within_template,1,0.3110645486153624,310,500
ball_within_template,2,0.303742432015346,311,500
ball_within_template,3,0.30430669846014535,317,500
ball_within_template,4,0.2947120960301076,301,500
ball_within_template,5,0.31474703717261215,325,500
ball_within_template,6,0.30092223724048167,316,500
ball_within_template,7,0.30028999608472084,311,500
ball_within_template,8,0.30062468350159405,313,500
ball_within_template,9,0.3088031444082464,296,500
