eval_setup,fold_id,AUCESS,Solved,Total
ball_within_template,0,0.3819825823220737,383,500
ball_within_template,1,0.3967733196812085,383,500
ball_within_template,2,0.3838189485010415,372,500
ball_within_template,3,0.38631446023278476,371,500
ball_within_template,4,0.38252813702744987,387,500
ball_within_template,5,0.3999200163102343,386,500
ball_within_template,6,0.40184454643695566,394,500
ball_within_template,7,0.3832928920705404,376,500
ball_within_template,8,0.40087054661864807,393,500
ball_within_template,9,0.38042831961479046,363,500
