eval_setup,fold_id,AUCESS,Solved,Total,Percent_Solved
ball_within_template,0,0.3720728948849283,420,500,0.84
ball_within_template,1,0.38595885195173985,446,500,0.892
ball_within_template,2,0.3811050834370222,395,500,0.79
ball_within_template,3,0.3900281371111899,426,500,0.852
ball_within_template,4,0.38031831884033945,414,500,0.828
ball_within_template,5,0.3918619123785235,434,500,0.868
ball_within_template,6,0.37983785920217705,413,500,0.826
ball_within_template,7,0.3714112526101993,418,500,0.836
ball_within_template,8,0.3854505943777914,410,500,0.82
ball_within_template,9,0.38151021703310845,435,500,0.87
