eval_setup,fold_id,AUCESS,Solved,Total
ball_within_template,0,0.398896210316373,385,500
ball_within_template,1,0.3981131231863322,379,500
ball_within_template,2,0.37972862241182187,373,500
ball_within_template,3,0.38392068282920455,369,500
ball_within_template,4,0.380799208860611,374,500
ball_within_template,5,0.38907979970720835,384,500
ball_within_template,6,0.39143433794030147,383,500
ball_within_template,7,0.3990141395530425,382,500
ball_within_template,8,0.3938937708151592,382,500
ball_within_template,9,0.3937546294824607,374,500
