eval_setup,fold_id,AUCESS,Solved,Total
ball_cross_template,0,0.3817450480327756,397,500
ball_cross_template,1,0.2823242289300176,312,500
ball_cross_template,2,0.3810621480972752,358,500
ball_cross_template,3,0.3500594961423958,330,500
ball_cross_template,4,0.22940710179637783,282,500
ball_cross_template,5,0.3919444481570125,332,500
ball_cross_template,6,0.28490540101935746,292,500
ball_cross_template,7,0.2946342758924784,346,500
ball_cross_template,8,0.16329366336187362,215,500
ball_cross_template,9,0.3621342037447658,331,500
ball_within_template,0,0.3138246830199936,323,500
ball_within_template,1,0.32804468081269195,330,500
ball_within_template,2,0.30922277532532777,319,500
ball_within_template,3,0.3022088322197845,305,500
ball_within_template,4,0.3040554217152624,309,500
ball_within_template,5,0.3195220129713295,318,500
ball_within_template,6,0.3112885623189707,322,500
ball_within_template,7,0.3129639420795753,323,500
ball_within_template,8,0.3266430197832318,324,500
ball_within_template,9,0.30780211804517105,318,500
