eval_setup,fold_id,AUCESS,Solved,Total
ball_within_template,0,0.38077983237072993,385,500
ball_within_template,1,0.39177568262568013,388,500
ball_within_template,2,0.38240729077395896,378,500
ball_within_template,3,0.3778202621297567,368,500
ball_within_template,4,0.3730044014819425,377,500
ball_within_template,5,0.39376804580944974,382,500
ball_within_template,6,0.38413716221586347,378,500
ball_within_template,7,0.39068009770828993,375,500
ball_within_template,8,0.39982883954203147,375,500
ball_within_template,9,0.3932392760516992,375,500
