eval_setup,fold_id,AUCESS,Solved,Total
ball_cross_template,0,0.36886027620054906,391,500
ball_cross_template,1,0.2600643178381712,293,500
ball_cross_template,2,0.3909298297200271,366,500
ball_cross_template,3,0.3417604184503703,332,500
ball_cross_template,4,0.2192071835301463,268,500
ball_cross_template,5,0.39506302464058923,335,500
ball_cross_template,6,0.27700923754667034,291,500
ball_cross_template,7,0.25870215750613307,317,500
ball_cross_template,8,0.17384421372783007,219,500
ball_cross_template,9,0.3444718599753106,325,500
ball_within_template,0,0.3292119063339265,337,500
ball_within_template,1,0.3365142857356092,342,500
ball_within_template,2,0.3185926611960712,315,500
ball_within_template,3,0.3320864289609262,331,500
ball_within_template,4,0.32407138052732987,331,500
ball_within_template,5,0.33335454240893686,335,500
ball_within_template,6,0.3224693399635426,332,500
ball_within_template,7,0.33730275500974527,328,500
ball_within_template,8,0.3484572877060312,343,500
ball_within_template,9,0.3199886342827833,333,500
