eval_setup,fold_id,AUCESS,Solved,Total
ball_cross_template,0,0.3839544595509945,396,500
ball_cross_template,1,0.25849396271273495,295,500
ball_cross_template,2,0.4034453736523791,375,500
ball_cross_template,3,0.3452278207132833,333,500
ball_cross_template,4,0.2217206770693433,275,500
ball_cross_template,5,0.4031576716654106,345,500
ball_cross_template,6,0.27828815803899926,294,500
ball_cross_template,7,0.28088646728975397,331,500
ball_cross_template,8,0.16357067453108737,221,500
ball_cross_template,9,0.34966540439510474,331,500
ball_within_template,0,0.30593411650083974,315,500
ball_within_template,1,0.3092973304640285,325,500
ball_within_template,2,0.31159853302589247,306,500
ball_within_template,3,0.3094642380557012,323,500
ball_within_template,4,0.2988307758099866,317,500
ball_within_template,5,0.2988894450995765,309,500
ball_within_template,6,0.30696532263077864,323,500
ball_within_template,7,0.3108206606872137,310,500
ball_within_template,8,0.3161318908701003,328,500
ball_within_template,9,0.30947367456136865,312,500
