eval_setup,fold_id,AUCESS,Solved,Total
ball_within_template,0,0.37681908879772463,384,500
ball_within_template,1,0.37985556309121393,374,500
ball_within_template,2,0.37388374588466733,379,500
ball_within_template,3,0.37029910510609704,368,500
ball_within_template,4,0.3820038602007986,385,500
ball_within_template,5,0.37998601217244243,383,500
ball_within_template,6,0.3845114471699409,390,500
ball_within_template,7,0.39222040752992465,367,500
ball_within_template,8,0.4076381280240685,382,500
ball_within_template,9,0.38773529642253984,363,500
